keys,en,de,fr
XSTR_231,"The Advanced Amazon is a larger drone, used by the GTA for subsystem and large target training.  They are unmanned and inexpensive.","(gr)The Advanced Amazon is a larger drone, used by the GTA for subsystem and large target training.  They are unmanned and inexpensive.","(fr)The Advanced Amazon is a larger drone, used by the GTA for subsystem and large target training.  They are unmanned and inexpensive."
XSTR_232,"The Centaur support ship is designed to get in and out of battle as quick as possible.  It is fast, and quite maneuverable, allowing it to dock with fighters in a minimum amount of time.  Most notable about the Centaur, however, is its extremely large explosion radius.  The amount of warheads carried on a support ship makes it very dangerous to be close to an exploding Centaur.","(gr)The Centaur support ship is designed to get in and out of battle as quick as possible.  It is fast, and quite maneuverable, allowing it to dock with fighters in a minimum amount of time.  Most notable about the Centaur, however, is its extremely large explosion radius.  The amount of warheads carried on a support ship makes it very dangerous to be close to an exploding Centaur.","(fr)The Centaur support ship is designed to get in and out of battle as quick as possible.  It is fast, and quite maneuverable, allowing it to dock with fighters in a minimum amount of time.  Most notable about the Centaur, however, is its extremely large explosion radius.  The amount of warheads carried on a support ship makes it very dangerous to be close to an exploding Centaur."
XSTR_233,"The Poseidon is the standard military freighter in the GTA.  It is designed to protect its cargo from any kind of attack, and has four turrets with which to do so.","(gr)The Poseidon is the standard military freighter in the GTA.  It is designed to protect its cargo from any kind of attack, and has four turrets with which to do so.","(fr)The Poseidon is the standard military freighter in the GTA.  It is designed to protect its cargo from any kind of attack, and has four turrets with which to do so."
XSTR_234,"The TC2 is the standard issue cargo container in the GTA for deep space cargo transport.  It has all the electronics and systems needed to preserve any cargo within it at whatever conditions are necessary.  TC2s are cheap to manufacture, and heavily used throughout the Alliance.","(gr)The TC2 is the standard issue cargo container in the GTA for deep space cargo transport.  It has all the electronics and systems needed to preserve any cargo within it at whatever conditions are necessary.  TC2s are cheap to manufacture, and heavily used throughout the Alliance.","(fr)The TC2 is the standard issue cargo container in the GTA for deep space cargo transport.  It has all the electronics and systems needed to preserve any cargo within it at whatever conditions are necessary.  TC2s are cheap to manufacture, and heavily used throughout the Alliance."
XSTR_235,"The Chronos is a freighter of civilian design.  As the Terran Vasudan war dragged on, more and more of these vessels were commissioned by the GTA for use in military operations.  These vessels are slow but strong.","(gr)The Chronos is a freighter of civilian design.  As the Terran Vasudan war dragged on, more and more of these vessels were commissioned by the GTA for use in military operations.  These vessels are slow but strong.","(fr)The Chronos is a freighter of civilian design.  As the Terran Vasudan war dragged on, more and more of these vessels were commissioned by the GTA for use in military operations.  These vessels are slow but strong."
XSTR_236,"The TAC 1 (Called the TacOne by most pilots) is a heavily armored container, usually for carrying volatile or dangerous substances.  It is also the preferred supply container for use in front line operations.","(gr)The TAC 1 (Called the TacOne by most pilots) is a heavily armored container, usually for carrying volatile or dangerous substances.  It is also the preferred supply container for use in front line operations.","(fr)The TAC 1 (Called the TacOne by most pilots) is a heavily armored container, usually for carrying volatile or dangerous substances.  It is also the preferred supply container for use in front line operations."
XSTR_237,"The TTC 1 is another example of civilian equipment used by the GTA League of Defense.  It is primarily a Tech Container, used for research purposes, especially Zero-G development operations.  It is not very strong, however, and is often a target of enemy attacks.","(gr)The TTC 1 is another example of civilian equipment used by the GTA League of Defense.  It is primarily a Tech Container, used for research purposes, especially Zero-G development operations.  It is not very strong, however, and is often a target of enemy attacks.","(fr)The TTC 1 is another example of civilian equipment used by the GTA League of Defense.  It is primarily a Tech Container, used for research purposes, especially Zero-G development operations.  It is not very strong, however, and is often a target of enemy attacks."
XSTR_238,"The mainstay of the Terran Fleet, these vessels have served in both strike and defense purposes.  From nose to tail it measures 260 meters.  With a full array of weapon systems and a strong enough hull to withstand the strongest enemy warheads, a Fenris Cruiser can be found in almost any system that the GTA is operating in.  The Fenris cruiser was originally designed as a strike weapon, hence its fast speed and decent turning rate.  It was later decided that a second line of cruisers would be produced, for defensive purposes, once it became apparent that the V-T war wouldn't be over in a few months.","(gr)The mainstay of the Terran Fleet, these vessels have served in both strike and defense purposes.  From nose to tail it measures 260 meters.  With a full array of weapon systems and a strong enough hull to withstand the strongest enemy warheads, a Fenris Cruiser can be found in almost any system that the GTA is operating in.  The Fenris cruiser was originally designed as a strike weapon, hence its fast speed and decent turning rate.  It was later decided that a second line of cruisers would be produced, for defensive purposes, once it became apparent that the V-T war wouldn't be over in a few months.","(fr)The mainstay of the Terran Fleet, these vessels have served in both strike and defense purposes.  From nose to tail it measures 260 meters.  With a full array of weapon systems and a strong enough hull to withstand the strongest enemy warheads, a Fenris Cruiser can be found in almost any system that the GTA is operating in.  The Fenris cruiser was originally designed as a strike weapon, hence its fast speed and decent turning rate.  It was later decided that a second line of cruisers would be produced, for defensive purposes, once it became apparent that the V-T war wouldn't be over in a few months."
XSTR_239,"After the Vasudans began making incursions into GTA space, command decided that it needed a new defensive cruiser.  Changes to the Fenris led to the GTC Leviathan line of cruisers, produced as mobile defense battleships.  Their speed and maneuverability were greatly reduced in tradeoff for more powerful weapons and a stronger hull.  Production was discontinued when the GTA thought they would win the Vasudan war after the Battle of Gulnara, and then the production was started up again after the defeat at the Talania system.  Because of the on-again off-again nature of this vessel's production, almost all of the Leviathan Cruisers have different armaments, but all have consistent hulls and speeds.","(gr)After the Vasudans began making incursions into GTA space, command decided that it needed a new defensive cruiser.  Changes to the Fenris led to the GTC Leviathan line of cruisers, produced as mobile defense battleships.  Their speed and maneuverability were greatly reduced in tradeoff for more powerful weapons and a stronger hull.  Production was discontinued when the GTA thought they would win the Vasudan war after the Battle of Gulnara, and then the production was started up again after the defeat at the Talania system.  Because of the on-again off-again nature of this vessel's production, almost all of the Leviathan Cruisers have different armaments, but all have consistent hulls and speeds.","(fr)After the Vasudans began making incursions into GTA space, command decided that it needed a new defensive cruiser.  Changes to the Fenris led to the GTC Leviathan line of cruisers, produced as mobile defense battleships.  Their speed and maneuverability were greatly reduced in tradeoff for more powerful weapons and a stronger hull.  Production was discontinued when the GTA thought they would win the Vasudan war after the Battle of Gulnara, and then the production was started up again after the defeat at the Talania system.  Because of the on-again off-again nature of this vessel's production, almost all of the Leviathan Cruisers have different armaments, but all have consistent hulls and speeds."
XSTR_240,"The Faustus Science vessel was, and still is, a civilian craft. However, in the 14 years since the Terran-Vasudan war began, more and more of these were commissioned by the GTA in order to pursue military research.  However, its obvious value, poor fighting capabilities, and lack of speed make it a prime target for enemy ships. Hence, you will rarely find many of these anywhere near the front lines of battle.","(gr)The Faustus Science vessel was, and still is, a civilian craft. However, in the 14 years since the Terran-Vasudan war began, more and more of these were commissioned by the GTA in order to pursue military research.  However, its obvious value, poor fighting capabilities, and lack of speed make it a prime target for enemy ships. Hence, you will rarely find many of these anywhere near the front lines of battle.","(fr)The Faustus Science vessel was, and still is, a civilian craft. However, in the 14 years since the Terran-Vasudan war began, more and more of these were commissioned by the GTA in order to pursue military research.  However, its obvious value, poor fighting capabilities, and lack of speed make it a prime target for enemy ships. Hence, you will rarely find many of these anywhere near the front lines of battle."
XSTR_241,"The Orion is the capital ship of the GTA.  Measuring a frightening 2.1 kilometers in length, the cost to build one of these far outweighs the cost of paying the crew of this ship for 3 years.  There is no more important symbol of Terran Pride than a ship like the Galatea or the Intrepid cruising past a colonized planet, patrolling the system and ensuring safety.  In the course of the 14 year war, very few of these have ever been lost, making the destruction of an Orion a truly horrible defeat.","(gr)The Orion is the capital ship of the GTA.  Measuring a frightening 2.1 kilometers in length, the cost to build one of these far outweighs the cost of paying the crew of this ship for 3 years.  There is no more important symbol of Terran Pride than a ship like the Galatea or the Intrepid cruising past a colonized planet, patrolling the system and ensuring safety.  In the course of the 14 year war, very few of these have ever been lost, making the destruction of an Orion a truly horrible defeat.","(fr)The Orion is the capital ship of the GTA.  Measuring a frightening 2.1 kilometers in length, the cost to build one of these far outweighs the cost of paying the crew of this ship for 3 years.  There is no more important symbol of Terran Pride than a ship like the Galatea or the Intrepid cruising past a colonized planet, patrolling the system and ensuring safety.  In the course of the 14 year war, very few of these have ever been lost, making the destruction of an Orion a truly horrible defeat."
XSTR_242,Nothing much is known about the GTD Hades.  It seems to be the GTI's top project.  We believe the goal of the project is to recreate the SD Lucifer.  The GTD Hades should be considered a Class A threat.,(gr)Nothing much is known about the GTD Hades.  It seems to be the GTI's top project.  We believe the goal of the project is to recreate the SD Lucifer.  The GTD Hades should be considered a Class A threat.,(fr)Nothing much is known about the GTD Hades.  It seems to be the GTI's top project.  We believe the goal of the project is to recreate the SD Lucifer.  The GTD Hades should be considered a Class A threat.
XSTR_243,"Early Terran space stations were constructed much smaller, and were mostly used for Zero-G research purposes.  Later on, with advancements in space construction technologies, stations grew bigger and bigger.  When the first Arcadia-class station was commissioned, GTA decided to rename it to an Installation rather than a Space Station.  Used for a variety of purposes, almost all major systems are home to at least one Installation, which is often used as the center of trade and communications.  Home to scores of small ship, including repair vessels, fighters, and transports, an Arcadia class Installation is always a safe haven for a convoy of attack ships, returning from battle.  Where the Orion is the symbol of Terran power, the Arcadia is the shining beacon of stability.","(gr)Early Terran space stations were constructed much smaller, and were mostly used for Zero-G research purposes.  Later on, with advancements in space construction technologies, stations grew bigger and bigger.  When the first Arcadia-class station was commissioned, GTA decided to rename it to an Installation rather than a Space Station.  Used for a variety of purposes, almost all major systems are home to at least one Installation, which is often used as the center of trade and communications.  Home to scores of small ship, including repair vessels, fighters, and transports, an Arcadia class Installation is always a safe haven for a convoy of attack ships, returning from battle.  Where the Orion is the symbol of Terran power, the Arcadia is the shining beacon of stability.","(fr)Early Terran space stations were constructed much smaller, and were mostly used for Zero-G research purposes.  Later on, with advancements in space construction technologies, stations grew bigger and bigger.  When the first Arcadia-class station was commissioned, GTA decided to rename it to an Installation rather than a Space Station.  Used for a variety of purposes, almost all major systems are home to at least one Installation, which is often used as the center of trade and communications.  Home to scores of small ship, including repair vessels, fighters, and transports, an Arcadia class Installation is always a safe haven for a convoy of attack ships, returning from battle.  Where the Orion is the symbol of Terran power, the Arcadia is the shining beacon of stability."
XSTR_244,"Since the start of space colonization, this standard transport has been used by everyone, both civilian and military.  While it has undergone minor changes time and again, it remains a simple design: A vehicle meant to transport personnel from one place to another.","(gr)Since the start of space colonization, this standard transport has been used by everyone, both civilian and military.  While it has undergone minor changes time and again, it remains a simple design: A vehicle meant to transport personnel from one place to another.","(fr)Since the start of space colonization, this standard transport has been used by everyone, both civilian and military.  While it has undergone minor changes time and again, it remains a simple design: A vehicle meant to transport personnel from one place to another."
XSTR_245,The Watchdog is the standard unmanned defensive sentry turret for the GTA.  It fires two standard plasma bursts at any nearby hostile targets.,(gr)The Watchdog is the standard unmanned defensive sentry turret for the GTA.  It fires two standard plasma bursts at any nearby hostile targets.,(fr)The Watchdog is the standard unmanned defensive sentry turret for the GTA.  It fires two standard plasma bursts at any nearby hostile targets.
XSTR_246,"The Cerberus is an advanced version of the Watchdog, with stronger weaponry and the ability to withstand more damage.","(gr)The Cerberus is an advanced version of the Watchdog, with stronger weaponry and the ability to withstand more damage.","(fr)The Cerberus is an advanced version of the Watchdog, with stronger weaponry and the ability to withstand more damage."
XSTR_247,The Hermes Escape pod has been used since the destruction of the GTD Goliath over 12 years ago.  They are used by the crews of destroyers and installations to escape destruction.  It is always best to be prepared.,(gr)The Hermes Escape pod has been used since the destruction of the GTD Goliath over 12 years ago.  They are used by the crews of destroyers and installations to escape destruction.  It is always best to be prepared.,(fr)The Hermes Escape pod has been used since the destruction of the GTD Goliath over 12 years ago.  They are used by the crews of destroyers and installations to escape destruction.  It is always best to be prepared.
XSTR_248,Light Skirmish,(gr)Light Skirmish,(fr)Light Skirmish
XSTR_249,PVN,(gr)PVN,(fr)PVN
XSTR_252,Heavy Fighter,(gr)Heavy Fighter,(fr)Heavy Fighter
XSTR_255,Very Good,(gr)Very Good,(fr)Very Good
XSTR_258,PVN/Hammer Of Light,(gr)PVN/Hammer Of Light,(fr)PVN/Hammer Of Light
XSTR_261,Bomber,(gr)Bomber,(fr)Bomber
XSTR_266,"The Scarab is very similar to our Centaur: We believe the Vasudans stole the design of this ship from us.  It is used for in flight rearming of fighters and bombers.  In longer engagements, these ships can mean the difference between victory and defeat.  The major difference between this ship and the Centaur is that the Scarab is unmanned.","(gr)The Scarab is very similar to our Centaur: We believe the Vasudans stole the design of this ship from us.  It is used for in flight rearming of fighters and bombers.  In longer engagements, these ships can mean the difference between victory and defeat.  The major difference between this ship and the Centaur is that the Scarab is unmanned.","(fr)The Scarab is very similar to our Centaur: We believe the Vasudans stole the design of this ship from us.  It is used for in flight rearming of fighters and bombers.  In longer engagements, these ships can mean the difference between victory and defeat.  The major difference between this ship and the Centaur is that the Scarab is unmanned."
XSTR_267,"The Isis transport is quite fast and maneuverable for a ship of its size.  Most often it is used for personnel transfer, although occasionally they have been known to act as repair ships and tugboats.  It is well protected with its turrets, and it is not unheard of for the PVN to use a wing of Isises to conduct an assault on a fortified position.","(gr)The Isis transport is quite fast and maneuverable for a ship of its size.  Most often it is used for personnel transfer, although occasionally they have been known to act as repair ships and tugboats.  It is well protected with its turrets, and it is not unheard of for the PVN to use a wing of Isises to conduct an assault on a fortified position.","(fr)The Isis transport is quite fast and maneuverable for a ship of its size.  Most often it is used for personnel transfer, although occasionally they have been known to act as repair ships and tugboats.  It is well protected with its turrets, and it is not unheard of for the PVN to use a wing of Isises to conduct an assault on a fortified position."
XSTR_268,"The Bast freighter is unarmed, and considered a non threat.  We believe that it is mainly used by Vasudan civilians, but we have seen some in front line operations.  It has very low target value, but should be destroyed, as any kind of resupply ship is a danger to the GTA.","(gr)The Bast freighter is unarmed, and considered a non threat.  We believe that it is mainly used by Vasudan civilians, but we have seen some in front line operations.  It has very low target value, but should be destroyed, as any kind of resupply ship is a danger to the GTA.","(fr)The Bast freighter is unarmed, and considered a non threat.  We believe that it is mainly used by Vasudan civilians, but we have seen some in front line operations.  It has very low target value, but should be destroyed, as any kind of resupply ship is a danger to the GTA."
XSTR_269,"The standard Vasudan cargo container is only slightly different from our own.  The primary difference is that the Vasudan cargo containers are atmospheric as well as deep-space.  Vasudans used cargo containers well before we did, as they needed to transport raw materials from other systems to their own barren world.  Our cargo container was modelled after theirs, although ours is slightly superior in durability.","(gr)The standard Vasudan cargo container is only slightly different from our own.  The primary difference is that the Vasudan cargo containers are atmospheric as well as deep-space.  Vasudans used cargo containers well before we did, as they needed to transport raw materials from other systems to their own barren world.  Our cargo container was modelled after theirs, although ours is slightly superior in durability.","(fr)The standard Vasudan cargo container is only slightly different from our own.  The primary difference is that the Vasudan cargo containers are atmospheric as well as deep-space.  Vasudans used cargo containers well before we did, as they needed to transport raw materials from other systems to their own barren world.  Our cargo container was modelled after theirs, although ours is slightly superior in durability."
XSTR_270,"With three turrets, the Ma'at is a hairy target for GTA pilots to attack.  However, it is slow enough that it can be destroyed with enough patience.  As always, supply ships for the PVN are considered to be valid targets.","(gr)With three turrets, the Ma'at is a hairy target for GTA pilots to attack.  However, it is slow enough that it can be destroyed with enough patience.  As always, supply ships for the PVN are considered to be valid targets.","(fr)With three turrets, the Ma'at is a hairy target for GTA pilots to attack.  However, it is slow enough that it can be destroyed with enough patience.  As always, supply ships for the PVN are considered to be valid targets."
XSTR_271,"the VAC 4 series of cargo is much like its normal counterpart, only it has much more plating.  However, this container is no more dangerous than the standard version, and is nothing more than ML-16 bait without protection of some kind.","(gr)the VAC 4 series of cargo is much like its normal counterpart, only it has much more plating.  However, this container is no more dangerous than the standard version, and is nothing more than ML-16 bait without protection of some kind.","(fr)the VAC 4 series of cargo is much like its normal counterpart, only it has much more plating.  However, this container is no more dangerous than the standard version, and is nothing more than ML-16 bait without protection of some kind."
XSTR_275,"The Ankh is the standard Vasudan sentry gun.  Its most common usage is guarding supply depots.  However, since the development of the Anubis, its usage has dropped off significantly.","(gr)The Ankh is the standard Vasudan sentry gun.  Its most common usage is guarding supply depots.  However, since the development of the Anubis, its usage has dropped off significantly.","(fr)The Ankh is the standard Vasudan sentry gun.  Its most common usage is guarding supply depots.  However, since the development of the Anubis, its usage has dropped off significantly."
XSTR_276,The Ra has been used by Vasudans since our first encounter with them.  Every Vasudan capital ship has a few of these lifeboats.,(gr)The Ra has been used by Vasudans since our first encounter with them.  Every Vasudan capital ship has a few of these lifeboats.,(fr)The Ra has been used by Vasudans since our first encounter with them.  Every Vasudan capital ship has a few of these lifeboats.
XSTR_283,"The new Seraphim class bomber is the Shivan's latest threat.  It is three times larger than a Nephilim, and carries a massive payload at least 150% the size of the Nephilim.  With strong hulls and almost impenetrable shield system, the Seraphim is easily the most dangerous bomber we have yet encountered.  The Seraphim has been designated a Class A threat to GTA destroyers and cruisers.  In unpopulated systems, it is to be considered a Class B threat.","(gr)The new Seraphim class bomber is the Shivan's latest threat.  It is three times larger than a Nephilim, and carries a massive payload at least 150% the size of the Nephilim.  With strong hulls and almost impenetrable shield system, the Seraphim is easily the most dangerous bomber we have yet encountered.  The Seraphim has been designated a Class A threat to GTA destroyers and cruisers.  In unpopulated systems, it is to be considered a Class B threat.","(fr)The new Seraphim class bomber is the Shivan's latest threat.  It is three times larger than a Nephilim, and carries a massive payload at least 150% the size of the Nephilim.  With strong hulls and almost impenetrable shield system, the Seraphim is easily the most dangerous bomber we have yet encountered.  The Seraphim has been designated a Class A threat to GTA destroyers and cruisers.  In unpopulated systems, it is to be considered a Class B threat."
XSTR_284,"The Azrael is most likely a Shivan transport.  While we are not completely sure of its uses, we do know that they can house many Shivans.  It is not very heavily armored, and its weaponry is not too strong.  This makes the Azrael the most common target for capture attempts.","(gr)The Azrael is most likely a Shivan transport.  While we are not completely sure of its uses, we do know that they can house many Shivans.  It is not very heavily armored, and its weaponry is not too strong.  This makes the Azrael the most common target for capture attempts.","(fr)The Azrael is most likely a Shivan transport.  While we are not completely sure of its uses, we do know that they can house many Shivans.  It is not very heavily armored, and its weaponry is not too strong.  This makes the Azrael the most common target for capture attempts."
XSTR_285,The Mephisto freighter behaves much like one of our own.  Only it is far more powerful and dangerous.  Very little data is available on this ship class.,(gr)The Mephisto freighter behaves much like one of our own.  Only it is far more powerful and dangerous.  Very little data is available on this ship class.,(fr)The Mephisto freighter behaves much like one of our own.  Only it is far more powerful and dangerous.  Very little data is available on this ship class.
XSTR_286,We believe that the Shivans use cargo containers such as these as storage depots.  We have yet to see a Shivan land on a planet.  This leads us to believe that the Shivans plan on keeping all of their materials and resources in deep space.,(gr)We believe that the Shivans use cargo containers such as these as storage depots.  We have yet to see a Shivan land on a planet.  This leads us to believe that the Shivans plan on keeping all of their materials and resources in deep space.,(fr)We believe that the Shivans use cargo containers such as these as storage depots.  We have yet to see a Shivan land on a planet.  This leads us to believe that the Shivans plan on keeping all of their materials and resources in deep space.
XSTR_287,Almost no data is available on the Asmodeus freighter.  We are aware that it has a strong hull and four turrets.  Any further data on this ship should be immediately delivered to Terran Intelligence.,(gr)Almost no data is available on the Asmodeus freighter.  We are aware that it has a strong hull and four turrets.  Any further data on this ship should be immediately delivered to Terran Intelligence.,(fr)Almost no data is available on the Asmodeus freighter.  We are aware that it has a strong hull and four turrets.  Any further data on this ship should be immediately delivered to Terran Intelligence.
XSTR_288,What we have dubbed the Sac-2 is simply a more heavily armored form of the standard Shivan cargo container.  We believe that this is where the Shivans keep their more precious supplies.  Sac-2s are to be captured or destroyed at every opportunity.,(gr)What we have dubbed the Sac-2 is simply a more heavily armored form of the standard Shivan cargo container.  We believe that this is where the Shivans keep their more precious supplies.  Sac-2s are to be captured or destroyed at every opportunity.,(fr)What we have dubbed the Sac-2 is simply a more heavily armored form of the standard Shivan cargo container.  We believe that this is where the Shivans keep their more precious supplies.  Sac-2s are to be captured or destroyed at every opportunity.
XSTR_293,"We believe that the sole purpose of the Trident is to guard Shivan repair and supply depots.  It is not too strong, but in mass quantities, can be dangerous.","(gr)We believe that the sole purpose of the Trident is to guard Shivan repair and supply depots.  It is not too strong, but in mass quantities, can be dangerous.","(fr)We believe that the sole purpose of the Trident is to guard Shivan repair and supply depots.  It is not too strong, but in mass quantities, can be dangerous."
XSTR_297,Create pilot,(gr)Create pilot,(fr)Create pilot
XSTR_298,Accept,(gr)Accept,(fr)Accept
XSTR_299,Help,(gr)Help,(fr)Help
XSTR_300,Options,(gr)Options,(fr)Options
XSTR_301,Medals,(gr)Medals,(fr)Medals
XSTR_302,Remove,(gr)Remove,(fr)Remove
XSTR_303,Set Active,(gr)Set Active,(fr)Set Active
XSTR_304,Clone pilot,(gr)Clone pilot,(fr)Clone pilot
XSTR_305,Single Player,(gr)Single Player,(fr)Single Player
XSTR_306,Multi Player,(gr)Multi Player,(fr)Multi Player
XSTR_307,Convert pilot,(gr)Convert pilot,(fr)Convert pilot
XSTR_308,Barracks,(gr)Barracks,(fr)Barracks
XSTR_309,Pilot Stats,(gr)Pilot Stats,(fr)Pilot Stats
XSTR_310,Briefing,(gr)Briefing,(fr)Briefing
XSTR_311,Ship Selection,(gr)Ship Selection,(fr)Ship Selection
XSTR_312,Weapons Loadout,(gr)Weapons Loadout,(fr)Weapons Loadout
XSTR_313,Commit,(gr)Commit,(fr)Commit
XSTR_314,@Close,(gr)@Close,(fr)@Close
XSTR_315,Clone Pilot,(gr)Clone Pilot,(fr)Clone Pilot
XSTR_316,Choose Pilot,(gr)Choose Pilot,(fr)Choose Pilot
XSTR_317,Select,(gr)Select,(fr)Select
XSTR_318,Restart Campaign,(gr)Restart Campaign,(fr)Restart Campaign
XSTR_319,Campaigns,(gr)Campaigns,(fr)Campaigns
XSTR_320,Campaign Information,(gr)Campaign Information,(fr)Campaign Information
XSTR_321,Continue,(gr)Continue,(fr)Continue
XSTR_322,GTA Command Briefing,(gr)GTA Command Briefing,(fr)GTA Command Briefing
XSTR_323,Targeting,(gr)Targeting,(fr)Targeting
XSTR_324,Ship,(gr)Ship,(fr)Ship
XSTR_325,Weapons,(gr)Weapons,(fr)Weapons
XSTR_326,Miscellaneous,(gr)Miscellaneous,(fr)Miscellaneous
XSTR_327,Alt,(gr)Alt,(fr)Alt
XSTR_328,Shift,(gr)Shift,(fr)Shift
XSTR_329,Enable,(gr)Enable,(fr)Enable
XSTR_330,Invert,(gr)Invert,(fr)Invert
XSTR_331,Cancel,(gr)Cancel,(fr)Cancel
XSTR_332,Undo,(gr)Undo,(fr)Undo
XSTR_333,Reset Defaults,(gr)Reset Defaults,(fr)Reset Defaults
XSTR_334,Search Mode,(gr)Search Mode,(fr)Search Mode
XSTR_335,Bind Mode,(gr)Bind Mode,(fr)Bind Mode
XSTR_336,@Conflict,(gr)@Conflict,(fr)@Conflict
XSTR_337,Clear Conflict,(gr)Clear Conflict,(fr)Clear Conflict
XSTR_338,Clear All,(gr)Clear All,(fr)Clear All
XSTR_339,Clear Selected,(gr)Clear Selected,(fr)Clear Selected
XSTR_340,Technical Database,(gr)Technical Database,(fr)Technical Database
XSTR_341,Mission Simulator,(gr)Mission Simulator,(fr)Mission Simulator
XSTR_342,Cutscenes,(gr)Cutscenes,(fr)Cutscenes
XSTR_343,Credits,(gr)Credits,(fr)Credits
XSTR_344,Exit,(gr)Exit,(fr)Exit
XSTR_345,Debriefing,(gr)Debriefing,(fr)Debriefing
XSTR_346,Statistics,(gr)Statistics,(fr)Statistics
XSTR_347,Replay Mission,(gr)Replay Mission,(fr)Replay Mission
XSTR_348,Recommendations,(gr)Recommendations,(fr)Recommendations
XSTR_349,@.Medal,(gr)@.Medal,(fr)@.Medal
XSTR_350,@.Rank,(gr)@.Rank,(fr)@.Rank
XSTR_351,@.Badge,(gr)@.Badge,(fr)@.Badge
XSTR_352,Pilot Info,(gr)Pilot Info,(fr)Pilot Info
XSTR_353,@Medal,(gr)@Medal,(fr)@Medal
XSTR_354,@Rank,(gr)@Rank,(fr)@Rank
XSTR_355,@Badge,(gr)@Badge,(fr)@Badge
XSTR_356,Kick,(gr)Kick,(fr)Kick
XSTR_357,Clear,(gr)Clear,(fr)Clear
XSTR_358,Reset,(gr)Reset,(fr)Reset
XSTR_359,Hotkey Assignment,(gr)Hotkey Assignment,(fr)Hotkey Assignment
XSTR_360,Key Group,(gr)Key Group,(fr)Key Group
XSTR_361,Amber,(gr)Amber,(fr)Amber
XSTR_362,Blue,(gr)Blue,(fr)Blue
XSTR_363,Green,(gr)Green,(fr)Green
XSTR_364,On,(gr)On,(fr)On
XSTR_365,Off,(gr)Off,(fr)Off
XSTR_366,Popup,(gr)Popup,(fr)Popup
XSTR_367,HUD Config,(gr)HUD Config,(fr)HUD Config
XSTR_368,Brightness,(gr)Brightness,(fr)Brightness
XSTR_369,Single Missions,(gr)Single Missions,(fr)Single Missions
XSTR_370,Campaign Missions,(gr)Campaign Missions,(fr)Campaign Missions
XSTR_371,Mission,(gr)Mission,(fr)Mission
XSTR_372,Filename,(gr)Filename,(fr)Filename
XSTR_373,Messages,(gr)Messages,(fr)Messages
XSTR_374,Events,(gr)Events,(fr)Events
XSTR_375,Objectives,(gr)Objectives,(fr)Objectives
XSTR_376,Complete,(gr)Complete,(fr)Complete
XSTR_377,Incomplete,(gr)Incomplete,(fr)Incomplete
XSTR_378,Failed,(gr)Failed,(fr)Failed
XSTR_379,Mission Log,(gr)Mission Log,(fr)Mission Log
XSTR_380,Missions,(gr)Missions,(fr)Missions
XSTR_381,Close,(gr)Close,(fr)Close
XSTR_382,All,(gr)All,(fr)All
XSTR_383,Coop,(gr)Coop,(fr)Coop
XSTR_384,Team,(gr)Team,(fr)Team
XSTR_385,Dogfight,(gr)Dogfight,(fr)Dogfight
XSTR_386,Create Game,(gr)Create Game,(fr)Create Game
XSTR_387,Players,(gr)Players,(fr)Players
XSTR_388,Pilot Information,(gr)Pilot Information,(fr)Pilot Information
XSTR_389,Host Options,(gr)Host Options,(fr)Host Options
XSTR_390,Highest Rank,(gr)Highest Rank,(fr)Highest Rank
XSTR_391,Team Leader,(gr)Team Leader,(fr)Team Leader
XSTR_392,Any Player,(gr)Any Player,(fr)Any Player
XSTR_393,Host,(gr)Host,(fr)Host
XSTR_394,AI Orders,(gr)AI Orders,(fr)AI Orders
XSTR_395,End Mission,(gr)End Mission,(fr)End Mission
XSTR_396,Skill Level,(gr)Skill Level,(fr)Skill Level
XSTR_397,Observers,(gr)Observers,(fr)Observers
XSTR_398,Time Limit,(gr)Time Limit,(fr)Time Limit
XSTR_399,Respawn Limit,(gr)Respawn Limit,(fr)Respawn Limit
XSTR_400,Kill Limit,(gr)Kill Limit,(fr)Kill Limit
XSTR_401,Voice Transmission,(gr)Voice Transmission,(fr)Voice Transmission
XSTR_402,Voice Quality,(gr)Voice Quality,(fr)Voice Quality
XSTR_403,Message Duration,(gr)Message Duration,(fr)Message Duration
XSTR_404,Per Player Voice Wait,(gr)Per Player Voice Wait,(fr)Per Player Voice Wait
XSTR_405,Host Modifies Ships,(gr)Host Modifies Ships,(fr)Host Modifies Ships
XSTR_406,Host Setup,(gr)Host Setup,(fr)Host Setup
XSTR_407,Join,(gr)Join,(fr)Join
XSTR_408,Select Ship,(gr)Select Ship,(fr)Select Ship
XSTR_409,Name,(gr)Name,(fr)Name
XSTR_410,Class,(gr)Class,(fr)Class
XSTR_411,Hull,(gr)Hull,(fr)Hull
XSTR_412,Shield,(gr)Shield,(fr)Shield
XSTR_413,Refresh,(gr)Refresh,(fr)Refresh
XSTR_414,Status,(gr)Status,(fr)Status
XSTR_415,Server,(gr)Server,(fr)Server
XSTR_416,Ping,(gr)Ping,(fr)Ping
XSTR_417,Join as Observer,(gr)Join as Observer,(fr)Join as Observer
XSTR_418,Join Game,(gr)Join Game,(fr)Join Game
XSTR_419,Team 1,(gr)Team 1,(fr)Team 1
XSTR_420,Team 2,(gr)Team 2,(fr)Team 2
XSTR_421,Open,(gr)Open,(fr)Open
XSTR_422,Closed,(gr)Closed,(fr)Closed
XSTR_423,Password Protected,(gr)Password Protected,(fr)Password Protected
